rec,id,ecl_time,line
rec_031,0761-2149,2025-12-13 00:10:00 +01,BL-80930
rec_031,0549-1652,2025-12-11 20:20:00 +01,BL-80930
rec_031,0461-1026,2025-12-11 00:00:00 +01,BL-80930
rec_031,0475-1810,2025-12-11 17:40:00 +01,BL-80930
rec_031,0433-0286,2025-12-13 00:10:00 +01,BL-80930
rec_031,0451-1122,2025-12-12 06:10:00 +01,BL-80930
rec_031,0962-0698,2025-12-11 13:10:00 +01,BL-80930
rec_031,1018-0157,NA,BL-80930
rec_031,1036-1637,NA,BL-80930
rec_031,0381-1433,2025-12-11 12:50:00 +01,BL-80930
rec_031,0524-1690,2025-12-11 09:20:00 +01,BL-80930
rec_031,0362-2161,2025-12-11 10:30:00 +01,BL-80930
rec_031,1145-0851,2025-12-10 21:10:00 +01,BL-80930
rec_031,0769-0485,2025-12-11 08:40:00 +01,BL-80930
rec_031,1177-0685,2025-12-12 18:20:00 +01,BL-80930
rec_031,1127-1760,2025-12-11 09:50:00 +01,BL-80930
rec_031,0900-0668,2025-12-13 01:50:00 +01,BL-80930
rec_031,0325-1942,2025-12-11 15:50:00 +01,BL-80930
rec_031,1151-1378,2025-12-12 09:20:00 +01,BL-80930
rec_031,1082-2060,2025-12-11 03:50:00 +01,BL-80930
rec_031,0824-0875,2025-12-11 09:10:00 +01,BL-80930
rec_031,0433-1678,2025-12-12 01:00:00 +01,BL-80930
rec_031,1105-2091,2025-12-11 05:30:00 +01,BL-80930
rec_031,1151-1018,2025-12-12 07:40:00 +01,BL-80930
rec_031,1112-0518,2025-12-12 06:40:00 +01,BL-80930
rec_031,1123-1529,2025-12-11 09:40:00 +01,BL-80930
rec_031,1125-1850,2025-12-11 08:40:00 +01,BL-80930
rec_031,1161-1324,2025-12-11 12:00:00 +01,BL-80930
rec_031,0498-0536,2025-12-12 07:40:00 +01,BL-80930
rec_031,0901-1494,2025-12-11 15:50:00 +01,BL-80930
rec_031,1136-1421,2025-12-11 00:40:00 +01,BL-80930
rec_031,0360-2094,2025-12-11 14:20:00 +01,BL-80930
rec_031,0444-2040,2025-12-11 10:50:00 +01,BL-80930
rec_031,1152-0545,2025-12-12 09:30:00 +01,BL-80930
rec_031,0492-1456,2025-12-11 13:10:00 +01,BL-80930
rec_031,1074-0207,2025-12-13 07:40:00 +01,BL-80930
rec_031,0171-1709,2025-12-11 00:10:00 +01,BL-80930
rec_031,1057-0800,2025-12-13 08:20:00 +01,BL-80930
rec_031,0550-0525,2025-12-11 17:40:00 +01,BL-80930
rec_031,0773-0122,2025-12-12 12:40:00 +01,BL-80930
rec_031,0449-1347,2025-12-11 11:40:00 +01,BL-80930
rec_031,1036-2048,2025-12-12 01:30:00 +01,BL-80930
rec_031,1007-1700,2025-12-11 14:40:00 +01,BL-80930
rec_031,0371-0873,2025-12-13 14:00:00 +01,BL-80930
rec_031,1063-0762,2025-12-12 20:20:00 +01,BL-80930
rec_031,0526-0855,2025-12-11 07:30:00 +01,BL-80930
rec_031,0494-1752,2025-12-11 03:10:00 +01,BL-80930
rec_031,0540-1528,2025-12-11 09:20:00 +01,BL-80930
rec_031,0413-0110,2025-12-12 16:50:00 +01,BL-80930
rec_031,0508-0159,2025-12-11 12:50:00 +01,BL-80930
rec_031,0423-0129,2025-12-11 11:40:00 +01,BL-80930
rec_031,0791-2097,2025-12-12 14:20:00 +01,BL-80930
